scenario,tick,sim_time_s,frame,speed_kmh,x,y,z
保守慢行,0,0.0,1211565,18.8,-60.61,23.89,0.0
保守慢行,5,0.25,1211570,19.02,-59.34,23.58,0.0
保守慢行,10,0.5,1211575,18.92,-58.08,23.18,0.0
保守慢行,15,0.75,1211580,18.9,-56.87,22.7,0.0
保守慢行,20,1.0,1211585,19.0,-55.68,22.12,0.0
保守慢行,25,1.25,1211590,18.83,-54.54,21.47,0.0
保守慢行,30,1.5,1211595,19.07,-53.45,20.74,0.0
保守慢行,35,1.75,1211600,18.81,-52.39,19.96,0.0
保守慢行,40,2.0,1211605,18.99,-51.38,19.13,0.0
保守慢行,45,2.25,1211610,18.94,-50.42,18.22,0.0
保守慢行,50,2.5,1211615,18.98,-49.54,17.25,0.0
保守慢行,55,2.75,1211620,18.96,-48.73,16.21,0.0
保守慢行,60,3.0,1211625,18.89,-47.99,15.13,0.0
保守慢行,65,3.25,1211630,18.93,-47.31,14.0,0.0
保守慢行,70,3.5,1211635,18.93,-46.74,12.82,0.0
保守慢行,75,3.75,1211640,18.96,-46.31,11.59,0.0
保守慢行,80,4.0,1211645,18.93,-45.96,10.31,0.0
保守慢行,85,4.25,1211650,18.92,-45.73,9.03,0.0
保守慢行,90,4.5,1211655,19.01,-45.57,7.72,0.0
保守慢行,95,4.75,1211660,18.9,-45.48,6.41,0.0
保守慢行,100,5.0,1211665,19.0,-45.42,5.09,0.0
保守慢行,105,5.25,1211670,18.91,-45.39,3.78,0.0
保守慢行,110,5.5,1211675,18.99,-45.37,2.46,0.0
保守慢行,115,5.75,1211680,18.91,-45.35,1.15,0.0
保守慢行,120,6.0,1211685,18.99,-45.34,-0.17,0.0
保守慢行,125,6.25,1211690,18.91,-45.33,-1.49,0.0
保守慢行,130,6.5,1211695,18.99,-45.33,-2.8,0.0
保守慢行,135,6.75,1211700,18.91,-45.33,-4.12,0.0
保守慢行,140,7.0,1211705,18.99,-45.33,-5.44,0.0
保守慢行,145,7.25,1211710,18.91,-45.33,-6.75,0.0
保守慢行,150,7.5,1211715,18.99,-45.34,-8.07,0.0
保守慢行,155,7.75,1211720,18.91,-45.34,-9.38,0.0
保守慢行,160,8.0,1211725,18.99,-45.34,-10.7,0.0
保守慢行,165,8.25,1211730,18.91,-45.34,-12.02,0.0
保守慢行,170,8.5,1211735,18.99,-45.34,-13.33,0.0
保守慢行,175,8.75,1211740,18.91,-45.34,-14.65,0.0
保守慢行,180,9.0,1211745,18.99,-45.33,-15.96,0.0
保守慢行,185,9.25,1211750,18.91,-45.33,-17.28,0.0
保守慢行,190,9.5,1211755,18.99,-45.32,-18.6,0.0
保守慢行,195,9.75,1211760,18.91,-45.31,-19.91,0.0
保守慢行,200,10.0,1211765,18.99,-45.3,-21.23,0.0
保守慢行,205,10.25,1211770,18.91,-45.3,-22.54,0.0
保守慢行,210,10.5,1211775,18.99,-45.29,-23.86,0.0
保守慢行,215,10.75,1211780,18.88,-45.28,-25.18,0.0
保守慢行,220,11.0,1211785,18.54,-45.27,-26.48,0.0
保守慢行,225,11.25,1211790,18.18,-45.26,-27.75,0.0
保守慢行,230,11.5,1211795,18.53,-45.25,-29.01,0.0
保守慢行,235,11.75,1211800,18.16,-45.24,-30.24,0.0
保守慢行,240,12.0,1211805,17.4,-45.23,-31.48,0.0
保守慢行,245,12.25,1211810,17.29,-45.22,-32.68,0.0
保守慢行,250,12.5,1211815,16.94,-45.21,-33.87,0.0
保守慢行,255,12.75,1211820,16.69,-45.21,-35.03,0.0
保守慢行,260,13.0,1211825,16.43,-45.2,-36.18,0.0
保守慢行,265,13.25,1211830,16.16,-45.19,-37.32,0.0
保守慢行,270,13.5,1211835,14.7,-45.18,-38.41,0.0
保守慢行,275,13.75,1211840,10.58,-45.17,-39.28,0.0
保守慢行,280,14.0,1211845,1.41,-45.17,-39.82,0.0
保守慢行,285,14.25,1211850,0.0,-45.17,-39.82,0.0
保守慢行,290,14.5,1211855,0.0,-45.17,-39.82,0.0
保守慢行,295,14.75,1211860,0.0,-45.17,-39.82,0.0
保守慢行,300,15.0,1211865,0.0,-45.17,-39.82,0.0
保守慢行,305,15.25,1211870,0.0,-45.17,-39.82,0.0
保守慢行,310,15.5,1211875,0.0,-45.17,-39.82,0.0
保守慢行,315,15.75,1211880,0.0,-45.17,-39.82,0.0
保守慢行,320,16.0,1211885,0.0,-45.17,-39.82,0.0
保守慢行,325,16.25,1211890,0.0,-45.17,-39.82,0.0
保守慢行,330,16.5,1211895,0.0,-45.17,-39.82,0.0
保守慢行,335,16.75,1211900,0.0,-45.17,-39.82,0.0
保守慢行,340,17.0,1211905,0.0,-45.17,-39.82,0.0
保守慢行,345,17.25,1211910,0.0,-45.17,-39.82,0.0
保守慢行,350,17.5,1211915,0.0,-45.17,-39.82,0.0
保守慢行,355,17.75,1211920,0.0,-45.17,-39.82,0.0
保守慢行,360,18.0,1211925,0.0,-45.17,-39.82,0.0
保守慢行,365,18.25,1211930,0.0,-45.17,-39.82,0.0
保守慢行,370,18.5,1211935,0.0,-45.17,-39.82,0.0
保守慢行,375,18.75,1211940,0.0,-45.17,-39.82,0.0
保守慢行,380,19.0,1211945,0.0,-45.17,-39.82,0.0
保守慢行,385,19.25,1211950,0.0,-45.17,-39.82,0.0
保守慢行,390,19.5,1211955,0.0,-45.17,-39.82,0.0
保守慢行,395,19.75,1211960,0.0,-45.17,-39.82,0.0
保守慢行,400,20.0,1211965,0.0,-45.17,-39.82,0.0
保守慢行,405,20.25,1211970,0.0,-45.17,-39.82,0.0
保守慢行,410,20.5,1211975,0.0,-45.17,-39.82,0.0
保守慢行,415,20.75,1211980,0.0,-45.17,-39.82,0.0
保守慢行,420,21.0,1211985,0.0,-45.17,-39.82,0.0
保守慢行,425,21.25,1211990,0.0,-45.17,-39.82,0.0
保守慢行,430,21.5,1211995,0.0,-45.17,-39.82,0.0
保守慢行,435,21.75,1212000,0.0,-45.17,-39.82,0.0
保守慢行,440,22.0,1212005,0.0,-45.17,-39.82,0.0
保守慢行,445,22.25,1212010,0.0,-45.17,-39.82,0.0
保守慢行,450,22.5,1212015,0.0,-45.17,-39.82,0.0
保守慢行,455,22.75,1212020,0.0,-45.17,-39.82,0.0
保守慢行,460,23.0,1212025,0.0,-45.17,-39.82,0.0
保守慢行,465,23.25,1212030,0.0,-45.17,-39.82,0.0
保守慢行,470,23.5,1212035,0.0,-45.17,-39.82,0.0
保守慢行,475,23.75,1212040,0.0,-45.17,-39.82,0.0
保守慢行,480,24.0,1212045,0.0,-45.17,-39.82,0.0
保守慢行,485,24.25,1212050,0.0,-45.17,-39.82,0.0
保守慢行,490,24.5,1212055,0.0,-45.17,-39.82,0.0
保守慢行,495,24.75,1212060,0.0,-45.17,-39.82,0.0
保守慢行,500,25.0,1212065,0.0,-45.17,-39.82,0.0
保守慢行,505,25.25,1212070,0.0,-45.17,-39.82,0.0
保守慢行,510,25.5,1212075,0.0,-45.17,-39.82,0.0
保守慢行,515,25.75,1212080,0.0,-45.17,-39.82,0.0
保守慢行,520,26.0,1212085,0.0,-45.17,-39.82,0.0
保守慢行,525,26.25,1212090,0.0,-45.17,-39.82,0.0
保守慢行,530,26.5,1212095,0.0,-45.17,-39.82,0.0
保守慢行,535,26.75,1212100,0.0,-45.17,-39.82,0.0
保守慢行,540,27.0,1212105,0.0,-45.17,-39.82,0.0
保守慢行,545,27.25,1212110,0.0,-45.17,-39.82,0.0
保守慢行,550,27.5,1212115,0.0,-45.17,-39.82,0.0
保守慢行,555,27.75,1212120,0.0,-45.17,-39.82,0.0
保守慢行,560,28.0,1212125,0.0,-45.17,-39.82,0.0
保守慢行,565,28.25,1212130,0.0,-45.17,-39.82,0.0
保守慢行,570,28.5,1212135,0.0,-45.17,-39.82,0.0
保守慢行,575,28.75,1212140,0.0,-45.17,-39.82,0.0
保守慢行,580,29.0,1212145,0.0,-45.17,-39.82,0.0
保守慢行,585,29.25,1212150,0.0,-45.17,-39.82,0.0
保守慢行,590,29.5,1212155,0.0,-45.17,-39.82,0.0
保守慢行,595,29.75,1212160,0.0,-45.17,-39.82,0.0
普通通勤,0,0.0,1212203,24.16,-60.41,23.84,0.0
普通通勤,5,0.25,1212208,28.54,-58.64,23.38,0.0
普通通勤,10,0.5,1212213,30.94,-56.66,22.66,0.0
普通通勤,15,0.75,1212218,28.35,-54.82,21.74,0.0
普通通勤,20,1.0,1212223,28.17,-53.22,20.67,0.0
普通通勤,25,1.25,1212228,30.63,-51.61,19.39,0.0
普通通勤,30,1.5,1212233,28.54,-50.1,17.98,0.0
普通通勤,35,1.75,1212238,28.08,-48.85,16.51,0.0
普通通勤,40,2.0,1212243,30.54,-47.7,14.81,0.0
普通通勤,45,2.25,1212248,28.57,-46.72,13.0,0.0
普通通勤,50,2.5,1212253,27.88,-46.08,11.18,0.0
普通通勤,55,2.75,1212258,30.67,-45.66,9.18,0.0
普通通勤,60,3.0,1212263,28.84,-45.44,7.12,0.0
普通通勤,65,3.25,1212268,28.06,-45.38,5.17,0.0
普通通勤,70,3.5,1212273,30.36,-45.35,3.13,0.0
普通通勤,75,3.75,1212278,28.98,-45.34,1.06,0.0
普通通勤,80,4.0,1212283,27.95,-45.33,-0.9,0.0
普通通勤,85,4.25,1212288,30.42,-45.33,-2.93,0.0
普通通勤,90,4.5,1212293,28.98,-45.33,-5.01,0.0
普通通勤,95,4.75,1212298,27.98,-45.33,-6.96,0.0
普通通勤,100,5.0,1212303,30.29,-45.34,-8.99,0.0
普通通勤,105,5.25,1212308,29.12,-45.34,-11.07,0.0
普通通勤,110,5.5,1212313,27.86,-45.34,-13.03,0.0
普通通勤,115,5.75,1212318,29.76,-45.34,-15.04,0.0
普通通勤,120,6.0,1212323,28.07,-45.33,-17.06,0.0
普通通勤,125,6.25,1212328,26.6,-45.32,-18.94,0.0
普通通勤,130,6.5,1212333,26.22,-45.31,-20.78,0.0
普通通勤,135,6.75,1212338,25.14,-45.3,-22.56,0.0
普通通勤,140,7.0,1212343,24.17,-45.28,-24.27,0.0
普通通勤,145,7.25,1212348,23.56,-45.27,-25.93,0.0
普通通勤,150,7.5,1212353,22.56,-45.26,-27.53,0.0
普通通勤,155,7.75,1212358,21.91,-45.25,-29.07,0.0
普通通勤,160,8.0,1212363,21.1,-45.24,-30.56,0.0
普通通勤,165,8.25,1212368,20.42,-45.23,-32.0,0.0
普通通勤,170,8.5,1212373,19.67,-45.22,-33.39,0.0
普通通勤,175,8.75,1212378,19.06,-45.21,-34.73,0.0
普通通勤,180,9.0,1212383,18.32,-45.2,-36.03,0.0
普通通勤,185,9.25,1212388,18.12,-45.19,-37.3,0.0
普通通勤,190,9.5,1212393,0.62,-45.18,-38.08,0.0
普通通勤,195,9.75,1212398,0.0,-45.18,-38.08,0.0
普通通勤,200,10.0,1212403,0.0,-45.18,-38.08,0.0
普通通勤,205,10.25,1212408,0.0,-45.18,-38.08,0.0
普通通勤,210,10.5,1212413,0.0,-45.18,-38.08,0.0
普通通勤,215,10.75,1212418,0.0,-45.18,-38.08,0.0
普通通勤,220,11.0,1212423,0.0,-45.18,-38.08,0.0
普通通勤,225,11.25,1212428,0.0,-45.18,-38.08,0.0
普通通勤,230,11.5,1212433,0.0,-45.18,-38.08,0.0
普通通勤,235,11.75,1212438,0.0,-45.18,-38.08,0.0
普通通勤,240,12.0,1212443,0.0,-45.18,-38.08,0.0
普通通勤,245,12.25,1212448,0.0,-45.18,-38.08,0.0
普通通勤,250,12.5,1212453,0.0,-45.18,-38.08,0.0
普通通勤,255,12.75,1212458,0.0,-45.18,-38.08,0.0
普通通勤,260,13.0,1212463,0.0,-45.18,-38.08,0.0
