frame,tick,sim_time_s,speed_kmh,light_state,distance_m,light_id,ego_x,ego_y
361360,0,0.0,24.0,Red,4.14,17,-60.42,23.85
361380,20,1.0,29.24,Red,9.13,17,-53.24,20.7
361400,40,2.0,28.95,Red,15.56,17,-47.73,14.88
361404,44,2.2,28.95,Yellow,16.5,15,-46.95,13.48
361421,61,3.05,29.02,Red,18.87,16,-45.4,6.87
361441,81,4.05,29.04,Red,20.68,16,-45.3,-1.2
361461,101,5.05,29.03,Red,25.0,16,-45.33,-9.26
361514,154,7.7,22.07,Red,24.85,12,-45.25,-28.65
361534,174,8.7,19.21,Red,19.83,12,-45.21,-34.37
361554,194,9.7,0.99,Red,16.33,12,-45.18,-38.71
361574,214,10.7,0.0,Red,16.33,12,-45.18,-38.72
361594,234,11.7,0.0,Red,16.33,12,-45.18,-38.72
361614,254,12.7,0.0,Red,16.33,12,-45.18,-38.72
361634,274,13.7,0.0,Red,16.33,12,-45.18,-38.72
361654,294,14.7,0.0,Red,16.33,12,-45.18,-38.72
361674,314,15.7,0.0,Red,16.33,12,-45.18,-38.72
361694,334,16.7,0.0,Red,16.33,12,-45.18,-38.72
361714,354,17.7,0.0,Red,16.33,12,-45.18,-38.72
361734,374,18.7,0.0,Red,16.33,12,-45.18,-38.72
361754,394,19.7,0.0,Red,16.33,12,-45.18,-38.72
361774,414,20.7,0.0,Red,16.33,12,-45.18,-38.72
361794,434,21.7,0.0,Red,16.33,12,-45.18,-38.72
361814,454,22.7,16.13,Green,15.04,12,-45.16,-40.46
361834,474,23.7,18.43,Green,12.32,12,-45.13,-44.89
361854,494,24.7,29.35,Green,11.02,12,-45.44,-51.89
361869,509,25.45,28.93,Red,13.9,19,-46.82,-57.73
361874,514,25.7,28.95,Red,14.08,11,-47.64,-59.56
361894,534,26.7,29.03,Red,10.32,11,-52.79,-65.65
361914,554,27.7,29.11,Red,14.98,11,-60.23,-68.4
361921,561,28.05,28.96,Red,17.5,19,-63.05,-68.57
361941,581,29.05,29.04,Red,20.75,19,-71.11,-68.51
362123,763,38.15,24.0,Green,24.81,9,-113.41,-19.02
362143,783,39.15,20.76,Green,18.74,9,-113.57,-12.77
362163,803,40.15,0.0,Green,15.67,9,-113.62,-9.54
362183,823,41.15,0.0,Green,15.67,9,-113.62,-9.54
362203,843,42.15,0.0,Green,15.67,9,-113.62,-9.54
362223,863,43.15,0.0,Green,15.67,9,-113.62,-9.54
362243,883,44.15,0.0,Green,15.67,9,-113.62,-9.54
362263,903,45.15,0.0,Green,15.67,9,-113.62,-9.54
362283,923,46.15,0.0,Green,15.67,9,-113.62,-9.54
362303,943,47.15,0.0,Yellow,15.67,9,-113.62,-9.54
362323,963,48.15,0.0,Yellow,15.67,9,-113.62,-9.54
362343,983,49.15,0.0,Yellow,15.67,9,-113.62,-9.54
362363,1003,50.15,0.0,Red,15.67,9,-113.62,-9.54
362383,1023,51.15,0.0,Red,15.67,9,-113.62,-9.54
362403,1043,52.15,0.85,Red,15.66,9,-113.62,-9.53
362423,1063,53.15,18.55,Red,12.9,9,-113.67,-6.54
362443,1083,54.15,15.68,Red,8.87,9,-113.72,-1.86
362463,1103,55.15,25.17,Red,5.75,9,-113.78,3.28
362483,1123,56.15,29.39,Red,8.2,9,-113.87,11.3
362485,1125,56.25,29.38,Green,8.74,20,-113.88,12.11
362505,1145,57.25,29.01,Green,5.4,20,-113.97,20.17
362525,1165,58.25,29.07,Green,10.59,20,-114.06,28.24
362545,1185,59.25,29.06,Green,18.03,20,-114.15,36.3
362814,1454,72.7,28.84,Green,24.83,22,-84.51,134.45
362834,1474,73.7,24.95,Green,20.74,22,-77.69,137.43
362835,1475,73.75,24.82,Red,20.41,21,-77.37,137.54
362855,1495,74.75,21.72,Red,14.08,21,-71.15,139.23
362875,1515,75.75,18.87,Red,9.07,21,-65.58,139.9
362895,1535,76.75,16.6,Red,6.0,21,-60.67,140.16
362915,1555,77.75,19.93,Red,6.16,21,-56.03,140.28
362935,1575,78.75,28.35,Red,11.53,21,-48.55,140.39
362955,1595,79.75,29.11,Red,19.0,21,-40.49,140.46
