frame,sim_time_s,x,y,z,yaw,speed_kmh,speed_limit_kmh,distance_traveled_m,route_progress,route_target_index,traffic_light_state,nearest_obstacle_distance_m
5447819,0.05,-164.732,-95.142,0.001,-179.914,0.025,30.0,0.0,0.0625,5,Green,
5447824,0.3,-164.732,-95.142,0.001,-179.914,0.004,30.0,0.0,0.0625,5,Green,
5447829,0.55,-164.732,-95.142,0.002,-179.914,0.001,30.0,0.0,0.0625,5,Green,
5447834,0.8,-164.878,-95.142,0.001,-179.921,6.354,30.0,0.0,0.0625,5,Green,
5447839,1.05,-165.513,-95.143,0.001,-179.897,11.142,30.0,0.0,0.0625,5,Green,
5447844,1.3,-166.395,-95.144,0.001,-179.899,14.028,30.0,2.0,0.0625,6,Green,
5447849,1.55,-167.452,-95.146,0.001,-179.906,16.232,30.0,2.0,0.0625,6,Green,
5447854,1.8,-168.642,-95.148,0.002,-179.909,17.887,30.0,4.0,0.0625,8,Green,
5447859,2.05,-169.906,-95.15,0.002,-179.912,18.164,30.0,6.0,0.0625,9,Green,
5447864,2.3,-171.182,-95.152,0.002,-179.913,18.475,30.0,6.0,0.0625,9,Red,
5447869,2.55,-172.468,-95.154,0.002,-179.913,18.64,30.0,8.0,0.0625,9,Red,
5447874,2.8,-173.783,-95.156,0.002,-179.914,19.235,30.0,10.0,0.0625,11,Red,
5447879,3.05,-175.134,-95.158,0.002,-179.914,19.646,30.0,10.0,0.0625,11,Red,
5447884,3.3,-176.517,-95.16,0.002,-179.914,20.129,30.0,12.0,0.0625,12,Red,
5447889,3.55,-177.923,-95.162,0.002,-179.914,20.365,30.0,14.0,0.0625,13,Red,
5447894,3.8,-179.349,-95.164,0.003,-179.914,20.668,30.0,14.0,0.0625,13,Red,
5447899,4.05,-180.789,-95.166,0.006,-179.914,20.766,30.0,16.0,0.0625,14,Red,
5447904,4.3,-182.238,-95.169,0.009,-179.915,20.966,30.0,18.0,0.0625,15,Red,
5447909,4.55,-183.695,-95.171,0.014,-179.915,20.983,30.0,18.0,0.0625,15,Red,
5447914,4.8,-185.158,-95.173,0.018,-179.915,21.131,30.0,20.0,0.0625,15,Red,
5447919,5.05,-186.624,-95.175,0.023,-179.915,21.107,30.0,22.0,0.0625,17,Red,
5447924,5.3,-188.095,-95.177,0.027,-179.915,21.225,30.0,24.0,0.0625,18,Red,
5447929,5.55,-189.567,-95.179,0.032,-179.915,21.179,30.0,24.0,0.0625,18,Red,
5447934,5.8,-191.041,-95.182,0.036,-179.914,21.28,30.0,26.0,0.0625,18,Red,
5447939,6.05,-192.517,-95.184,0.04,-179.915,21.225,30.0,28.0,0.0625,20,Red,
5447944,6.3,-193.994,-95.186,0.044,-179.917,21.324,30.0,30.0,0.0625,21,Red,
5447949,6.55,-195.473,-95.188,0.046,-179.921,21.271,30.0,30.0,0.0625,21,Red,
5447954,6.8,-196.953,-95.19,0.047,-179.917,21.371,30.0,32.0,0.0625,21,Red,
5447959,7.05,-198.44,-95.191,0.03,-179.917,21.586,30.0,34.0,0.0625,22,Red,
5447964,7.3,-199.932,-95.194,0.024,-179.903,21.515,30.0,36.0,0.0625,24,Red,
5447969,7.55,-201.433,-95.196,0.006,-179.899,21.522,30.0,36.0,0.0625,24,Red,
5447974,7.8,-202.927,-95.198,-0.0,-179.905,21.528,30.0,38.0,0.0625,25,Red,
5447979,8.05,-204.42,-95.201,0.001,-179.907,21.454,30.0,40.0,0.0625,26,Red,
5447984,8.3,-205.912,-95.203,0.002,-179.908,21.519,30.0,42.0,0.0625,27,Red,
