rank,title_cn,title_en,rating,rating_count,year,country,genre,director_actor,quote,detail_url
1,肖申克的救赎,The Shawshank Redemption,9.7,3283602,1994,美国,犯罪 剧情,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,希望让人自由。,https://movie.douban.com/subject/1292052/
2,霸王别姬,,9.6,2422553,1993,中国大陆 中国香港,剧情 爱情 同性,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,风华绝代。,https://movie.douban.com/subject/1291546/
3,泰坦尼克号,Titanic,9.5,2497828,1997,美国,剧情 爱情 灾难,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,失去的才是永恒的。,https://movie.douban.com/subject/1292722/
4,阿甘正传,Forrest Gump,9.5,2429761,1994,美国,剧情 爱情,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,一部美国近现代史。,https://movie.douban.com/subject/1292720/
5,千与千寻,千と千尋の神隠し,9.4,2536245,2001,日本,剧情 动画 奇幻,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,最好的宫崎骏，最好的久石让。,https://movie.douban.com/subject/1291561/
6,美丽人生,La vita è bella,9.5,1482086,1997,意大利,剧情 喜剧 爱情 战争,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,最美的谎言。,https://movie.douban.com/subject/1292063/
7,星际穿越,Interstellar,9.4,2183123,2014,美国 英国 加拿大,剧情 科幻 冒险,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
8,这个杀手不太冷,Léon,9.4,2551872,1994,法国 美国,剧情 动作 犯罪,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
9,盗梦空间,Inception,9.4,2325060,2010,美国 英国,剧情 科幻 悬疑 冒险,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
10,楚门的世界,The Truman Show,9.4,2018613,1998,美国,剧情 科幻,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
